name,product,offer,is_celeb,celeb_name,source_v2,spend,cpa,spend_30,n_ad_ids,date_created,first_spend,crossed_date,days_to_winner,age_weeks,bucket,active,unicorn,spend_w1,spend_w2,spend_w3,spend_w4,velocity,launch_month
"Free magnesium iterations | Lo-fi | Vitals⁺, Magnesium⁺ | Static | Static | Product Imagery | Ready to Buy | Heights Internal | Energy LP | 1.26",Vitals,True,False,,Internal,58516,63,25728,5,2026-01-21,2026-01-21,2026-01-25,4,18,Ageing,True,True,5824,7000,5453,5583,8.58,Jan 2026
"Ben Shephard Ambassador Biotic | Problem + Agitation 2 Hook 4 | Biotic⁺ | Hi-fi | Video | Podcast | Problem/Benefit - Gut health | Problem Unaware, Problem Aware | Brightshift | PDP | 2.26",Biotic,False,True,Ben Shephard,Celeb,25946,130,3456,10,2026-02-10,2026-02-10,2026-03-02,20,15,Ageing,True,True,23,0,1019,2029,3.46,Feb 2026
Rylan x Dan podcast | Angle 1 Hook 3 | Biotic⁺ | Hi-fi | Video | AMBASSADORS | MOFU | Brightshift | 5.26,Biotic,False,True,Rylan,Celeb,27439,179,15681,4,2026-03-14,2026-03-14,2026-03-16,2,11,Ageing,False,True,3299,3965,3734,3784,15.68,Mar 2026
"Carol x Dan Library - Vitals  | Vitals⁺ | Hi-fi | Video | Ambassador, Conversational | Freelancer/Contractor, Heights Internal | Energy LP | 4.26",Vitals,False,True,Carol X Dan,Celeb,20138,105,11456,7,2026-03-18,2026-03-18,2026-03-31,13,10,Prime,True,True,480,2668,2783,3824,3.82,Mar 2026
Image | Hambi | CM5 | DESIGN NET NEW: [C11]_[Vitals]_[Instagram Native Post] | Product Aware | Design | Framework |  | 4 | v2,Vitals,False,False,,Hambi,14366,104,3610,2,2026-03-17,2026-03-20,2026-04-18,29,10,Prime,False,False,9,14,402,2110,1.2,Mar 2026
2604-136-01_pd:vitals_per:founderhp_jtbd:moreenergy_ps:poorsleep_v:testimonial_h:confession_ac:brandhandle_ed:adam_cn:dan_f:video_off:no_cg:male_ca:30-40_s:internal_ct:iteration_sp:v1-02,Vitals,False,False,,Internal,14245,148,13293,8,2026-04-14,2026-04-14,2026-04-24,10,6,Prime,True,False,1086,5945,3645,2523,4.43,Apr 2026
2603-064-02_pd:vitals_per:burntoutpro_jtbd:stilltiredam_ps:poorsleep_v:featurebenefitpointout_h:statement_ed:mp_f:static_off:no_na_s:internal_ct:newconcept_sp:v1-01,Vitals,False,False,,Internal,13841,143,9738,7,2026-04-02,2026-04-03,2026-04-15,12,8,Prime,True,False,484,3143,3500,1901,3.25,Apr 2026
"Video | HM | CM4 | HP NET NEW: [C5]_[Vitals]_[Price objection handling podcast] | Product Aware | HP | Framework | Objection Handling,Myth Busting Multivitamin Industry | 4",Vitals,False,False,,Hambi,39882,113,15947,7,2026-02-05,2026-02-05,2026-02-17,12,16,Ageing,False,True,1519,1900,4767,6792,5.32,Feb 2026
"Matt Willis - Biotic - Second Brain 50s Version Hook 1 | Hook 1 | Biotic⁺ | Hi-fi | Video | Talking to Camera | Personal story | Gut health | Health Optimiser | HO - Health starts in the gut | Problem aware, Solution aware | Heights Internal | A/B test | 3.26",Biotic,False,True,Matt Willis,Celeb,22704,197,7957,7,2026-02-17,2026-02-17,2026-02-21,4,14,Ageing,False,True,1544,2127,3216,1070,7.96,Feb 2026
2605-338-18_pd:biotic_per:ibssufferer_jtbd:gutcontrol_ps:shame_h:scrollstop_ac:brandhandle_cn:dan_f:video_off:yes_cg:male_ca:30-40_s:brightshift_ct:newconcept_sp:b-05,Biotic,True,False,,Brightshift,12598,69,12598,1,2026-05-11,2026-05-12,2026-05-13,1,2,Fresh,False,True,7698,4899,0,0,12.6,May 2026
2605-300-02_pd:vitals_per:parentyoungkidsdad_jtbd:moreenergy_ps:stress_v:testimonial_h:statement_ac:brandhandle_ed:george_f:video_off:no_cg:male_s:internal_ct:newconcept_sp:v1-04,Vitals,False,False,,Internal,12274,106,12274,3,2026-05-06,2026-05-07,2026-05-16,9,3,Fresh,True,False,1420,4641,5011,1202,4.09,May 2026
"Ben Shephard - Door to Door | Hook v2 | Vitals⁺ + Magnesium⁺ + Sleep Mask | Hi-fi | Video | Skit, Discount | Funny | Problem/Benefit - Sleep, Problem/Benefit - Energy | Ready to Buy | Brightshift | Intro Bundle LP
25.25",Vitals,True,True,Ben Shephard,Celeb,46359,70,16433,3,2025-12-23,2025-12-26,2026-01-02,7,22,Ageing,True,True,2835,8990,2477,1360,5.48,Dec 2025
2604-241-03_pd:vitals_per:burntoutpro_jtbd:cantfocus_ps:focus_v:celebrity_h:confession_ac:brandhandle_ed:george_cn:mashup_f:video_off:no_na_ca:40-50_s:internal_ct:iteration_sp:v1-03,Vitals,False,True,,Celeb,10692,137,10602,3,2026-04-28,2026-04-28,2026-05-07,9,4,Fresh,True,False,2234,2537,2832,2626,3.53,Apr 2026
"Carol x Dan Lofi “Your fav Heights Products” Hook 3 | Vitals⁺, Biotic⁺, Magnesium⁺, Thrive⁺ | Lo-fi | Video | Ambassador, Conversational, Lo-fi | Heights Internal | Heights Homepage | 4.26",Vitals,False,True,Carol X Dan,Celeb,16012,73,9089,4,2026-03-18,2026-03-18,2026-03-26,8,10,Prime,True,False,1696,3122,1448,2260,3.03,Mar 2026
2605-295-03_pd:vitals_per:parentyoungkidsdad_jtbd:moreenergy_ps:stress_v:splitscreen_h:relatability_ac:brandhandle_ed:mp_ed:jessie_f:static_off:no_cg:male_ca:40-50_s:internal_ct:newconcept_sp:v1-04,Vitals,False,False,,Internal,9969,111,9969,3,2026-05-02,2026-05-02,2026-05-12,10,4,Fresh,True,False,1710,2723,2611,1830,3.32,May 2026
2605-370-17_pd:vitals_per:healthoptimiser_jtbd:toomanysupps_ps:longevity_v:celebrity_h:challenge_ac:brandhandle_ac:partershipads_ed:sam_f:video_off:no_cg:male_ca:40-50_s:internal_ct:iteration_sp:vbau-01,Vitals,False,True,,Celeb,8948,126,8948,3,2026-05-16,2026-05-16,2026-05-19,3,2,Fresh,True,False,6367,1951,630,0,2.98,May 2026
"Ben Shephard - Launch Assets | Fit for Life - Hook 3- Long | Vitals⁺ | Hi-fi | Video | Podcast | Problem/Benefit - Energy, Problem/Benefit - Longevity | Problem Aware | Brightshift | Energy LP25.25",Vitals,False,True,Ben Shephard,Celeb,40858,76,14268,8,2026-01-06,2026-01-06,2026-01-11,5,20,Ageing,True,True,4987,3350,2516,2698,4.76,Jan 2026
Image | Hambi | CM3 | ITERATION: Iteration_[01/01]_[VITALS+Magnesium]_[We’re Sorry]  | 2 | Iterations |  |  |,Vitals,True,False,,Hambi,20071,59,3980,1,2026-01-15,2026-01-16,2026-02-09,24,19,Ageing,False,False,1651,301,484,1237,1.33,Jan 2026
"Affiliate Whitelisting |  | Vitals⁺ | Lo-fi | Static | n/a | UGC, Product imagery, Customer quote | Educational | Ingredients, Science results, Routine | MOFU | Charlie Oscar | PDP | @aimeevictorialong | Delivery #15.25",Vitals,False,False,,Influencer,20370,110,8914,2,2026-02-26,2026-02-27,2026-03-09,10,13,Ageing,False,False,1954,1935,2002,2283,2.97,Feb 2026
2603-058-05_pd:biotic_per:ibssufferer_jtbd:gutcontrol_ps:toilet_v:stopmotion_h:scrollstop_ac:brandhandle_f:video_off:no_na_s:brightshift_ct:newconcept_sp:b-06,Biotic,False,False,,Brightshift,10639,197,8121,7,2026-03-27,2026-03-28,2026-04-01,4,9,Prime,True,True,1699,2278,3144,753,8.12,Mar 2026
Video | Hambi | CM2 | ITERATION: Iteration_[3/2]_[Vitals]_[TT Spencer Mathews Reaction]  | Problem Aware | Iterations | Framework | Angle Test | 3 | V1,Vitals,False,False,,Hambi,18920,127,10267,3,2026-03-04,2026-03-05,2026-03-15,10,12,Ageing,False,True,1598,3150,2868,2185,3.42,Mar 2026
2605-305-02_pd:vitals_per:healthoptimiser_jtbd:moreenergy_ps:hairskinnails_h:confession_ac:partershipads_cn:daisyasaf_f:static_off:no_na_s:paidinfluencer_sp:v1-04,Vitals,False,False,,Influencer,8195,128,8195,3,2026-05-08,2026-05-09,2026-05-17,8,3,Fresh,True,False,2173,3767,2198,58,2.73,May 2026
"Rylan - Rylan & Dan Podcast | Dan Focus - Hook 2 | Vitals⁺ | Hi-fi | Video | Podcast | Ingredients, Busy lives | Solution Aware, Product Aware | Brightshift | Energy LP25.25",Vitals,False,True,Rylan,Celeb,54640,94,20734,9,2026-01-06,2026-01-06,2026-01-08,2,20,Ageing,False,True,9397,5149,4267,1297,6.91,Jan 2026
"Spencer Matthews Ambassador  | Podcast Script 1 Hook 1 | Vitals⁺ | Hi-fi | Video | 45s-1m | Podcast, Split screen | Personal story, Inspirational, Funny | Personal Problem/Benefit -  Energy, Personal Problem/Benefit - Performance, Social proof, Scepticism, Routine | Solution Aware | Brightshift | Energy LP |  | Delivery #22.25",Vitals,False,True,Spencer Matthews,Celeb,59740,77,5508,10,2025-11-11,2025-11-12,2025-12-01,19,28,Ageing,True,False,15,1190,1994,1876,1.84,Nov 2025
2603-037-15_pd:biotic_per:ibssufferer_jtbd:gutcontrol_ps:foodenemy_v:meme_h:relatability_ac:brandhandle_ed:sam_cn:sam_f:video_off:no_na_s:internal_ct:newconcept_sp:b-06,Biotic,False,False,,Internal,9897,180,8058,7,2026-03-27,2026-03-28,2026-04-01,4,9,Prime,False,True,1628,2628,2458,1066,8.06,Mar 2026
2604-222-01_pd:vitals_per:neurodivergentoptimiser_jtbd:moreenergy_ps:lowenergy_v:billboard_h:relatability_ac:brandhandle_ed:mp_ed:ellen_f:static_off:no_cg:female_s:internal_ct:newconcept_sp:v1-03,Vitals,False,False,,Internal,7117,166,7117,1,2026-04-28,2026-04-28,2026-05-05,7,4,Fresh,False,False,2516,2746,536,1319,2.37,Apr 2026
2605-431-01_pd:freemaggie_per:supplementskeptic_ps:skeptic_v:offerfirstbanner_h:question_ac:brandhandle_f:static_off:yes_s:hambi_ct:newconcept_sp:v1-05,Vitals,True,False,,Hambi,6812,43,6812,1,2026-05-28,2026-05-28,2026-05-30,2,0,Fresh,True,False,6812,0,0,0,2.27,May 2026
2604-145-01_pd:freemaggie_per:burntoutpro_jtbd:cantfocus_ps:supchoas_v:ugcselfie_h:statement_ac:brandhandle_f:video_off:yes_cg:female_ca:20-30_s:hambi_ct:newconcept_sp:v1-02,Vitals,True,False,,Hambi,6791,69,6369,4,2026-04-14,2026-04-14,2026-04-23,9,6,Prime,True,False,2456,2085,1238,447,2.12,Apr 2026
2604-161-04_pd:freemaggie_per:burntoutpro_jtbd:moreenergy_ps:lowenergy_h:question_ac:brandhandle_f:static_off:yes_na_s:hambi_ct:newconcept_sp:v1-02,Vitals,True,False,,Hambi,6468,82,6289,3,2026-04-14,2026-04-14,2026-04-29,15,6,Prime,False,False,560,1739,3172,664,2.1,Apr 2026
2604-099-06_pd:freemaggie_s:hambi_ct:iteration,Vitals,True,False,,Hambi,6436,55,5165,1,2026-04-06,2026-04-06,2026-04-19,13,7,Prime,True,False,1882,1254,808,1035,1.72,Apr 2026
"Ambassador Mashup - Scepticism | Hook v2 | Vitals⁺ | Hi-fi | Video | Ambassador Mashup | Inspirational | Scepticism | Solution Aware | YSC | Energy LP 25.25""",Vitals,False,True,Ambassador Mashup,Celeb,73424,96,48025,14,2025-12-24,2025-12-26,2026-01-01,6,22,Ageing,True,True,3311,16497,17976,7714,16.01,Dec 2025
"Ben Shephard Ambassador Sceptic | Journalist first | Vitals⁺ | Hi-fi | Video | 1m-1m30s | Podcast, Split screen, Broll | Personal story, Educational | Personal Problem/Benefit - Longevity, Personal Problem/Benefit - Holistic health, Personal Problem/Benefit -  Energy, Scepticism, Routine | MOFU | Brightshift | Energy LP |  | Delivery #12.25",Vitals,False,True,Ben Shephard,Celeb,119066,75,5838,5,2025-07-08,2025-07-08,2025-07-14,6,46,Ageing,True,False,3604,1624,610,0,1.95,Jul 2025
2603-025-05_pd:vitals_sp:perimenopause_jtbd:stilltiredam_ps:lowenergy_v:ugcselfie_h:confession_ac:partershipads_cn:bethbartram_f:video_off:yes_cg:female_ca:20-30_s:paidinfluencer,Vitals,False,False,,Influencer,6089,100,5125,3,2026-03-31,2026-04-02,2026-04-20,18,8,Prime,True,False,290,1387,2493,795,1.71,Apr 2026
2603-053-03_pd:vitals_per:ag1switcher_jtbd:toomanysupps_ps:supchoas_h:confession_ac:partershipads_cn:ashlee_f:static_off:yes_cg:female_ca:20-30_s:paidinfluencer,Vitals,False,False,,Influencer,5342,85,3149,3,2026-03-31,2026-04-02,2026-05-01,29,8,Prime,True,False,174,973,637,879,1.05,Apr 2026
Cortisol | Vitals⁺ | Static | Static | Heights Internal | Energy LP | 4.26,Vitals,False,False,,Internal,5730,108,3147,3,2026-03-18,2026-03-18,2026-04-16,29,10,Prime,True,False,6,152,647,1828,1.05,Mar 2026
2605-453-03_pd:vitals_per:burntoutpro_jtbd:nightwaking_ps:poorsleep_v:celebrity_h:relatability_ac:brandhandle_ed:aimee_f:static_off:no_cg:male_ca:30-40_s:internal_ct:iteration_sp:vbau-01,Vitals,False,True,,Celeb,4966,150,4966,1,2026-05-22,2026-05-22,2026-05-27,5,1,Fresh,True,False,4614,352,0,0,1.66,May 2026
2605-334-21_pd:vitals_per:burntoutpro_jtbd:cantfocus_ps:stress_v:testimonial_h:confession_ac:brandhandle_ed:mp_f:static_off:no_na_ca:20-30_s:internal_sp:vbau-01,Vitals,False,False,,Internal,4889,144,4889,3,2026-05-08,2026-05-09,2026-05-22,13,3,Fresh,True,False,2415,835,1398,241,1.63,May 2026
Video | Hambi | CM3 | UGC NET NEW: [C8]_[Vitals]_[Split screen Daily Life X2] - Aggie & Rob  | Problem Aware | UGC | Framework | Daily Energy/Fatigue - Busy Mums | 4,Vitals,False,False,,Hambi,9981,108,4923,12,2025-12-24,2025-12-30,2026-01-04,5,21,Ageing,True,False,3822,1086,0,15,1.64,Dec 2025
"Ben Shephard - Launch Assets | Family as Fuel - Hook 2 - Short | Vitals⁺ | Hi-fi | Video | Podcast | Problem/Benefit - Energy, Problem/Benefit - Longevity | Problem Aware | Brightshift | Energy LP 25.25",Vitals,False,True,Ben Shephard,Celeb,13024,92,5068,11,2025-12-23,2025-12-26,2026-01-06,11,22,Ageing,True,False,1313,2352,1138,249,1.69,Dec 2025
2604-119-05_pd:biotic_per:longtermsufferer_jtbd:normal_ps:shrunk_v:testimonial_h:confession_ac:brandhandle_f:video_off:no_cg:female_ca:30-40_s:brightshift_ct:newconcept_sp:b-03,Biotic,False,False,,Brightshift,4819,193,3086,3,2026-04-10,2026-04-10,2026-04-17,7,7,Prime,True,False,881,1859,330,12,3.09,Apr 2026
2604-119-12_pd:biotic_per:longtermsufferer_jtbd:normal_ps:shrunk_v:testimonial_h:confession_ac:brandhandle_f:video_off:no_cg:female_ca:30-40_s:brightshift_ct:newconcept_sp:b-03,Biotic,False,False,,Brightshift,4757,198,4339,1,2026-04-10,2026-04-10,2026-04-29,19,7,Prime,False,False,55,86,1541,2041,4.34,Apr 2026
2604-156-01_pd:vitals_per:athlete_jtbd:gymrecovery_ps:hormshift_v:testimonial_h:relatability_ac:brandhandle_f:static_off:no_cg:male_s:hambi_ct:newconcept_sp:v1-02,Vitals,False,False,,Hambi,4584,170,4582,3,2026-04-14,2026-04-14,2026-04-29,15,6,Prime,True,False,633,1622,2326,0,1.53,Apr 2026
2603-048-05_pd:biotic_per:longtermsufferer_jtbd:gutcontrol_ps:foodenemy_v:review_h:confession_ac:brandhandle_ed:aimee_f:static_off:no_na_s:internal_ct:iteration_sp:b-06,Biotic,False,False,,Internal,4506,188,1481,3,2026-03-27,2026-03-27,2026-04-23,27,9,Prime,True,False,8,36,162,833,1.48,Mar 2026
Image | Hambi | CM3 | ITERATION: Iteration_[01/01]_[VITALs+mag]_[Burnout]  |  | Iterations |  |  | 53 - Copy,Vitals,True,False,,Hambi,23963,71,12879,1,2026-02-20,2026-02-20,2026-02-28,8,14,Ageing,True,True,2144,3137,3172,3399,4.29,Feb 2026
"Ben Shephard - Launch Assets | Family as Fuel - Hook 2 - Long | Vitals⁺ | Hi-fi | Video | Podcast | Problem/Benefit - Energy, Problem/Benefit - Longevity | Problem Aware | Brightshift | Energy LP 25.25",Vitals,False,True,Ben Shephard,Celeb,51596,85,21682,16,2025-12-23,2025-12-26,2025-12-30,4,22,Ageing,True,True,5698,12194,2604,1009,7.23,Dec 2025
2605-451-03_pd:vitals_per:athlete_jtbd:moreenergy_ps:lowenergy_v:celebrity_h:question_ac:brandhandle_ac:partershipads_cn:spencermatthews_f:video_off:no_cg:male_ca:30-40_s:brightshift_ct:newconcept_sp:vbau-02,Vitals,False,True,,Celeb,3764,90,3764,1,2026-05-22,2026-05-22,2026-05-30,8,1,Fresh,True,False,1245,2519,0,0,1.25,May 2026
"Carol x Dan Podcast, Biotic Variation Hook 3 | Hook 3 (Cutdown) | Biotic⁺ | Hi-fi | Video | Podcast | Solution Chaser | HO - Health starts in the gut | Heights Internal, Freelancer/Contractor | 3.26",Biotic,False,True,Carol X Dan,Celeb,6930,161,2370,5,2026-02-17,2026-02-17,2026-02-22,5,14,Ageing,False,False,1297,1074,0,0,2.37,Feb 2026
Everyone thinks I'm a hermit | Biotic⁺ | Lo-fi | Video | GUTCONTROL | FOMO | 25 - 40 W IBS | MOFU | Freelancer/Contractor | 5.26,Biotic,False,False,,Internal,7040,190,4616,6,2026-03-13,2026-03-13,2026-03-25,12,11,Ageing,True,True,586,821,1498,1388,4.62,Mar 2026
2604-103-01_pd:biotic_per:ibssufferer_jtbd:gutcontrol_ps:foodenemy_v:uimockup_h:relatability_ac:brandhandle_ed:aimee_f:static_off:no_s:internal_ct:newconcept_sp:b-03,Biotic,False,False,,Internal,3353,197,2809,2,2026-04-10,2026-04-10,2026-04-20,10,7,Prime,True,False,465,779,591,781,2.81,Apr 2026
2603-078-65_pd:biotic_per:ibssufferer_jtbd:gutcontrol_ps:toilet_v:ugcoverlay_h:relatability_ac:brandhandle_f:video_off:no_cg:male_ca:20-30_s:brightshift_ct:newconcept_sp:b-06,Biotic,False,False,,Brightshift,3255,181,2293,1,2026-04-07,2026-04-07,2026-05-01,24,7,Prime,False,False,107,65,296,1249,2.29,Apr 2026
2604-179-02_pd:vitals_per:burntoutpro_jtbd:3pmcrash_ps:lowenergy_h:relatability_ac:brandhandle_ed:mp_ed:georgia_f:static_off:no_s:internal_ct:newconcept_sp:v1-02,Vitals,False,False,,Internal,3223,134,3223,1,2026-04-17,2026-04-17,2026-04-29,12,6,Prime,False,False,969,2253,0,0,1.07,Apr 2026
2604-164-01_pd:vitals_per:supplementskeptic_jtbd:toomanysupps_ps:supchoas_v:usvsthem_h:question_ac:brandhandle_f:video_off:no_na_s:hambi_ct:newconcept_sp:v1-02,Vitals,False,False,,Hambi,3088,206,3088,1,2026-04-14,2026-04-14,2026-04-29,15,6,Prime,False,False,102,2173,813,0,1.03,Apr 2026
2604-177-04_pd:biotic_per:healthoptimiser_jtbd:gutcontrol_v:celebrity_h:confession_ac:brandhandle_ac:partershipads_ed:sam_cn:jakehumphrey_f:video_off:no_cg:male_ca:40-50_s:internal_ct:iteration_sp:b-03,Biotic,False,True,,Celeb,3084,140,2794,3,2026-04-15,2026-04-15,2026-04-18,3,6,Prime,True,False,1179,673,623,241,2.79,Apr 2026
2605-376-14_pd:biotic_per:healthoptimiser_jtbd:gutcontrol_ps:brainfog_v:celebrity_h:stat_ac:brandhandle_ac:partershipads_ed:sam_cn:benshephard_f:video_off:no_cg:male_ca:50-60_s:internal_ct:newconcept_sp:b-05,Biotic,False,True,,Celeb,2939,155,2939,1,2026-05-15,2026-05-15,2026-05-20,5,2,Fresh,False,False,2121,818,0,0,2.94,May 2026
2603-078-49_pd:biotic_per:ibssufferer_jtbd:gutcontrol_ps:toilet_v:ugcoverlay_h:confession_ac:brandhandle_f:video_off:no_cg:female_ca:20-30_s:brightshift_ct:newconcept_sp:b-06,Biotic,False,False,,Brightshift,2580,161,2544,3,2026-04-07,2026-04-07,2026-04-21,14,7,Prime,True,False,343,624,1132,442,2.54,Apr 2026
"Carol & Dan Podcast - Biotic (Hook 3 no Broll) | (Hook 3 no Broll) | Biotic⁺ | Hi-fi | Video | Podcast | Education | Bacteria survivability, Product Pitch | Solution Aware | Heights Internal | Biotic PDP | 1.26",Biotic,False,True,,Celeb,8178,149,4743,11,2026-01-20,2026-01-20,2026-01-28,8,18,Ageing,True,False,734,1359,2408,241,4.74,Jan 2026
Dan VSL - Dan Story - Ultimate Podcast Mashup | Hook 3 | Vitals⁺ | Hi-fi | Video | VSL | Inspirational | Founder Story | Problem Aware | YSC | Energy LP 25.25,Vitals,False,False,,Internal,51372,104,19315,16,2025-12-23,2025-12-26,2026-01-04,9,22,Ageing,True,True,2427,3075,7793,5219,6.44,Dec 2025
